Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M11 & M12;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Merah Putih (Telkom-4);StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Gaofen 11;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M5 & M6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 5 | Iridium-7;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Galileo FOC FM19-FM22;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 5 | Telstar 19V;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-09 (70P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | BeiDou-2 I7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | PRSS-1 & PakTES-1A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | CRS-15;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | XJSS A & B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | GLONASS-M No.53S;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-09 (55S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Fengyun 2H;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | SES-12;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Gaofen 6 & Luojia 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 4 | Iridium-6 & GRACE-FO;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 4C | Queqiao, Longjiang 1 & 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 5 | Bangabandhu-1;StatusActive;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen 5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | InSight;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Apstar 6C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Zhuhai-1 2A to 2D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | Transiting Exoplanet Survey Satellite (TESS);StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | AFSPC-11;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 4C | Yaogan 31 A, B, & C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Superbird-B3/DSN-1 & HYLAS-4;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | CRS-14;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen-1 02-04;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 4 | Iridium-5;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M9 & M10;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v | Cosmos 2525;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-08 (54S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | LKW-4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | O3b FM13-FM16;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | Hispasat 30W-6;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 541 | GOES-S (GOES-17);StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 3 | PAZ & Tintin A, Tintin B;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-08 (69P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M3 & M4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon Heavy | Test Flight;StatusActive;Success;RP-1/LOX;22,819 kN;63,800 kg;1,420,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | CSES & Rideshares;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Soyuz 2.1a/Fregat-M | Kanopus-V No. 3-4 & Rideshares;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | GovSat-1 / SES-16;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | SES-14/GOLD & Al Yah-3;StatusActive;Partial Failure;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan 30 J, K & L;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 411 | SBIRS GEO-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Jilin-1 07, 08 & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | LKW-3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M7 & M8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 2D | SuperView 03 & 04;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 4 | Zuma;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan-30 G, H & I;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | LKW-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 3 | Iridium-4;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-07 (53S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | CRS-13;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Galileo FOC FM15-FM18;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Alcomsat-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | LKW-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b | Cosmos 2524;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | Meteor-M No.2-1 & Rideshares;StatusActive;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan-30 D, E, & F;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-16, Taiyuan Satellite Launch Center, China;Long March 6 | Jilin-1 Video 04, 05 & 06;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Fengyun 3D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/YZ-1 | BeiDou-3 M1 & M2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 4 | Koreasat 5A;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | NROL-52;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-07 (68P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | SES-11 / EchoStar 105;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 4 | Iridium-3;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | VRSS-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 37e, BSAT-4a;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Yaogan-30 A, B & C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 541 | NROL-42;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 4 | OTV-5;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 3 | Formosat-5;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | GLONASS-M No.52S;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | TDRS-M (TDRS-13);StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 4 | CRS-12;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-06 (52S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-05 (51S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a/Fregat | Kanopus-V IK & Rideshares;StatusActive;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | Intelsat 35e;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-101, Wenchang Satellite Launch Center, China;Long March 5 | Shijian-18;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Hellas Sat 3-Inmarsat S EAN, GSAT-17;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 3 | Iridium-2;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | BulgariaSat-1;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v/Volga | Cosmos 2519, 2521 and 2523;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | ChinaSat 9A;StatusActive;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 4B | HXMT & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-06 (67P);StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | CRS-11;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | ViaSat 2, Eutelsat 172B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat-M | EKS-2;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat-M | SES-15;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | Inmarsat-5 F4;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Koreasat 7, SGDC-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | NROL-76;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-201, Wenchang Satellite Launch Center, China;Long March 7/YZ-1A | Tianzhou 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-04 (50S);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | CRS OA-7;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | Shijian 13;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | SES-10;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | Echostar 23;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | NROL-79;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Progress MS-05 (66P);StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;LC-39A, Kennedy Space Center, Florida, USA;Falcon 9 Block 3 | CRS-10;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 32e/SkyBrasil-1 & Telkom-3S;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Hispasat AG1;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | SBIRS GEO-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 Block 3 | Iridium-1;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | TJS 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 2D | SuperView-1 1, 2 & Bayi Kepu 1;StatusActive;Partial Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Star One D1, JCSAT-15;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | TanSat & Spark 1, 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 431 | EchoStar 19;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Fengyun 4A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Progress MS-04;StatusRetired;Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3C/E | Tianlian I-04;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 541 | GOES-R (GOES-16);StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-03;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Galileo FOC FM7/FM12-FM14;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Yunhai-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | WorldView-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | XPNAV 1, Xiaoxiang 1 & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-101, Wenchang Satellite Launch Center, China;Long March 5/YZ-2 | Shijian-17;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-02;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/G | Shenzhou 11;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Sky Muster II, GSAT-18;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/T | Tiangong-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 411 | OSIRIS-REx;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | AMOS-6;StatusRetired;Prelaunch Failure;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen-10;StatusActive;Failure;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 33e, Intelsat 36;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | QUESS, Lixing-1, & 3CAT 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | JCSAT-16;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4C | Gaofen-3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Tiantong-1 01;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | NROL-61;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | CRS-9;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Progress MS-03;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
